,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
121,Houston Baptist,30,12,18,.400,-9.36,-5.53,8,10,9,4,3,13,2465,2484,,75.0,107.3,.418,.310,.542,52.2,51.9,10.2,4.5,.509,16.3,35.0,.282
122,Houston NCAA,37,33,4,.892,18.91,4.61,16,2,19,1,10,1,2787,2258,,67.3,111.8,.316,.426,.550,54.9,55.8,9.6,13.4,.521,13.9,33.8,.222
123,Howard,34,17,17,.500,-12.30,-9.52,10,6,6,8,9,8,2684,2661,,74.8,104.8,.361,.309,.530,48.1,49.4,7.7,11.1,.490,14.4,29.7,.262
124,Idaho State,30,11,19,.367,-13.17,-4.81,7,13,6,7,5,11,2198,2369,,68.9,106.3,.286,.432,.555,48.6,49.2,7.4,7.9,.526,15.4,26.8,.210
125,Idaho,32,5,27,.156,-18.74,-6.19,2,18,4,11,1,13,2174,2460,,67.9,99.6,.287,.384,.542,47.7,51.3,6.0,4.8,.512,17.8,24.2,.208
126,Illinois-Chicago,32,16,16,.500,-3.15,-1.99,10,8,12,4,4,12,2391,2385,,71.5,103.2,.279,.455,.561,48.4,55.3,9.1,10.6,.540,17.6,24.8,.190
127,Illinois State,33,17,16,.515,-2.06,0.25,9,9,12,4,2,10,2257,2314,,67.9,100.0,.286,.389,.526,49.5,51.8,7.2,9.7,.495,16.3,25.5,.205
128,Illinois,33,12,21,.364,8.95,11.53,7,13,9,6,1,9,2398,2483,,71.0,101.2,.295,.375,.525,47.6,51.7,10.3,7.3,.496,16.0,29.0,.207
129,Incarnate Word,31,6,25,.194,-18.93,-5.11,1,17,5,9,0,14,2044,2355,,66.6,97.8,.362,.333,.571,46.7,49.8,8.8,5.2,.523,22.0,23.6,.293
130,Indiana State,31,15,16,.484,-2.72,0.62,7,11,9,5,4,9,2146,2218,,69.2,99.2,.361,.286,.533,48.4,45.2,9.6,6.8,.492,16.6,23.8,.264
131,Indiana,35,19,16,.543,13.82,10.10,8,12,15,6,3,9,2504,2374,,68.3,103.3,.346,.336,.535,50.8,51.0,9.3,12.1,.510,15.6,28.1,.226
132,Iona NCAA,33,17,16,.515,-4.78,-5.50,12,6,8,3,5,9,2532,2508,,71.4,107.4,.368,.445,.568,48.0,50.4,9.5,7.7,.530,15.4,24.3,.275
133,Iowa State NCAA,35,23,12,.657,18.07,9.30,9,9,12,4,5,6,2692,2385,,68.2,112.7,.300,.396,.575,50.3,54.1,10.3,12.5,.548,13.9,28.4,.220
134,Iowa NCAA,35,23,12,.657,14.27,9.84,10,10,14,4,4,6,2740,2585,,70.2,110.4,.423,.390,.569,50.6,59.3,8.5,9.0,.527,15.1,29.5,.313
